N, Error Brute Force, Error SCCF, Runtime BF, Runtime SCCF
10, 0.028581247536902055, 0.8855898880794746, 6.44, 0.19
11, 0.018943629665119643, 0.180689883374741, 13.59, 0.04
12, 0.022240425176056067, 0.07239193644164221, 29.14, 0.04
13, 0.013419172797530465, 0.3044565186357, 61.90, 0.25
14, 0.011751748891626335, 0.24387547825683709, 140.67, 0.08
15, 0.011415277268437163, 0.2562048996662074, 293.08, 0.09
